IPV0001,Chalecos C/Fibra ,125
IPV0002,Chamarras Polar Unisex Manga Desmontable,140
IPV0003,Overoles Tela Kaky,145
IPV0004,Chalecos De La Alcaldia Diferentes Colores,125
IPV0005,Deportivos San Ignacio,90
IPV0006,Sacos De Trabajo 3/4 En Color Gabardina,112
IPV0007,Chompas S/Logo(S M L Xl Y Xxl),125
IPV0008,Toallas De Mano,49
IPV0009,Toallas Pequeñas,15
IPV0010,Pantalones Dacron C/Pretina Y Elastico Y Mod Buzo/Color,90
IPV0011,Pantalones Gavardina C/Pretina Y Elastico Y Mod Buzo Color Blanco,85
IPV0012,Pantalones Gavardina Mod Buzo Color,85
IPV0013,Pantalones Dacron C/Pretina Y Elastico Color,90
IPV0014,Pantalones Kaky Mod Buzo,95
IPV0015,Pantalones Gavardina Pretina Color,90
IPV0016,Pantalones Dacron Pretina Color Varon,95
IPV0017,Poleras C/Boton Manga Larga Bebe,39
IPV0018,Bodys Color Blanco,45
IPV0019,Chaquetas Enfermera Gabardina,105
IPV0020,Conjunto Enfermeras Dacron,185
IPV0021,Conjunto Enfermeras Gabardina,170
IPV0022,Faldas ,55
IPV0023,Batas De Quirofafno En Kaky,155
IPV0024,Sobremangas C/Puño Taslan,19
IPV0025,Sobremangas C/Elastico Taslan,17
IPV0026,Pierneras En Dacron,37
IPV0027,Sabanillas De Franela,25
IPV0028,Compresas,22
IPV0029,Mandiles En Popelina Escolares X8-8,90
IPV0030,Mandiles En Popelina Escolares 6-7,85
IPV0031,Sabanilla En Crea,95
IPV0032,Sabanilllas En Dacron,75
IPV0033,Campos Simples 0 30x0 30,25
IPV0034,Campos Simples 0 40x0 40,30
IPV0035,Fundas Para Almohada,30
IPV0036,Campos Fenestrados Simples 0 75x0 90,40
IPV0037,Campos Fenestrados Simples 0 50x0 50,35
IPV0038,Campos Simples 0 70x0 60,40
IPV0039,Sobrecamilla,62
IPV0040,Campos Dobles 0 40x0 40,45
IPV0041,Faldones Cintura,45
IPV0042,Mandiles De Niña,25
IPV0043,Mandiles Bastita,32
IPV0044,Parkas,190
IPV0045,Chalecos Polar,95
IPV0046,Chamarras Polar Manga Desmontable,125
IPV0047,Chaleco Polar C/Bordado,90
IPV0048,Poleras En V,50
IPV0049,Poleras Diferentes Marcas,50
IPV0050,Poleras De Niño Liquidacion,15
IPV0051,Poleras Blancas Liquidacion,20
IPV0052,Poleras Algodón,50
IPV0053,Poleras De Futbol,20
IPV0054,Poleras Estampadas,20
IPV0055,Sacos En V En Gabardina Hombre,70
IPV0056,Guardapolvos Bordados Liquidacion,55
IPV0057,Chaquetas Oferta  Liquidacion,55
IPV0058,Guardapolvo Niño Oferta,40
IPV0059,Deportivos San Ignacio,125
IPV0060,Blusas Niña  Liquidacion,25
IPV0061,Guardapolvos Cruzados P/Dentista Gabardina,145
IPV0062,Bodys De Color ,45
IPV0063,Patitas,32
IPV0064,S/Patitas,32
IPV0065,Mallas ,52
IPV0066,Anatomicas,48
IPV0067,Poleras,67
IPV0068,Guardapolvo Escolar Gavardina #14,115
IPV0069,Guardapolvo Escolar Dacron #X9 Y 9,90
IPV0070,Guardapolvo Gavardina De Laboratorio #16 Varon,115
IPV0071,Guardapolvo Popelina  De Laboratorio #16 14 12  Varon,110
IPV0072,Guardapolvo Popelina  De Laboratorio Varon,90
IPV0073,Guardapolvo Mod Presidente En Gavardina,125
IPV0074,Guardapolvo Recto Dacron,135
IPV0075,Mandil Dacron Tableado,155
IPV0076,Repasadores,28
IPV0077,Guantes De Algodón,18
IPV0078,Corbatines,12
IPV0079,Cofias,25
IPV0080,Conjunto De Trabajo Chamarra Pantalon,180
IPV0081,Poleras Estampadas,30
IPV0082,Pijamas Niño (CAMISONES),50
IPV0083,Quechuas,120
IPV0084,Gorros Mod Bastita,19
IPV0085,Gorros Mod Medico,16
IPV0086,Calatrabas,15
IPV0087,Barbijos Mod Bosal,7
IPV0088,Gorros Mod Hongo,28
IPV0089,Gorro Mod Nuevo,38
IPV0090,Barbijos C/Elastico,7
IPV0091,Guardapolvo Dacron Medico,149
IPV0092,Guardapolvo Dacron Dra,149
IPV0093,Guardapolvo Gavardina Dra,135
IPV0094,Pijamas Dacron,140
IPV0095,Batas Paciente Dacron,125
IPV0096,Batas Paciente Gavardina,115
IPV0097,Batas Quirofano Dacron,39
IPV0098,Batas Quirofano Gavardina,39
IPV0099,Sacos Diferentes Modelos Dacron Mujer,115
IPV0100,Sacos Mod Dentista Dacron ,140
IPV0101,Sacos Mod Dentista Gavardina,130
IPV0102,Sacos En V Gavardina,95
IPV0103,Sacos Diferentes Modelos Gavardina Mujer,105
IPV0104,Sacos 3/4 De Dra Dacron,140
IPV0105,Sacos Sport Varon Gavardina,125
IPV0106,Manoplas,19
IPV0107,Guardapolvo Para Enfermeras,145
IPV0108,Delantales De Cuerina,65
IPV0109,Sacos Cerrados Gavardina,105
IPV0110,Chaleco Delantal,65
IPV0111,Sacos Smoking,125
IPV0112,Delantales C/Pechera,42
IPV0113,Chalecos Solo Espalda S/Espalda,50
IPV0114,Faldones,45
IPV0115,Faldones Medianos,40
IPV0116,Mandiles Huari,35
IPV0117,Delantales Bordados,50
IPV0118,Delantales Tableados,65
IPV0119,Delantales Bastita,35
IPV0120,Sacos Cruzados Manga Corta,105
IPV0121,Filipinas Doble Pechera,125
