,Nimero,                Descripcin, Cidigo,Existencia,unidad, Ultima modificaciin
0,01 01 001 0001, Polietileno de baja densidad,  LDPE-1,0.0,kg,    ANA      17/10/02 10:09
1,01 01 001 0002, Polietileno de baja termocontraible,  LDPE-2,812.2,kg,    ANA      17/10/02 10:09
2,01 01 001 0003, Polietileno Extruido,  LDPE-3,0.0,kg,    BEATRIZ  02/03/06 12:22
3,01 01 001 0004, Polietileno de Baja densidad Lineal,  LDPE-LINEAL,63.3,kg,    BEATRIZ  27/01/09 10:09
4,01 01 001 0005, LDPE Pemex PX20020 P,  LDPEPEMEX,96.7,kg,    BEATRIZ  17/05/12 17:35
5,01 01 001 0006, Polietileno Tricapa 90-670mm,  LDPE-TRICAPA,0.0,kg,    BEATRIZ  26/10/09 15:26
6,01 01 001 0008, LDPE Polisur 230M,  LDPEPOLISUR,0.0,kg,    BEATRIZ  23/04/12 16:28
7,01 01 001 0009, Polietileno Varios Extruido,  LDPE-VAR,2083.3,kg,    APRIETO  04/02/11 15:37
8,01 01 001 0010, LDPE Lotrene,  LDPELOTRENE,25.0,kg,    BEATRIZ  30/03/12 16:55
9,01 01 001 0011, LDPE INNOPLUS LD 2426 H,  LDPEINNOPLUS,0.0,kg,    BEATRIZ  30/03/12 16:55
10,01 01 001 0012, Polietileno Fuera de Grado,  LDPEF-GRADO,0.0,kg,    BEATRIZ  30/05/12 16:38
11,01 01 001 0013, LDPE BRASKEM EB853,  LDPE-BRASKEM,17191.4,kg,    BEATRIZ  26/06/12 15:59
12,01 01 001 0014, LDPE DOW 586A,  LDPE DOWN586A,0.0,kg,    BEATRIZ  30/09/13 13:53
13,01 01 001 0015, Polietileno Extruido Blanco,  LDPE-4,0.0,kg,    BEATRIZ  25/07/14 13:33
14,01 01 001 0016, Polietileno Lineal Proxess 1806 S3,  PELINPROXESS,699.2,kg,    CLEON    19/12/16 15:10
15,01 01 001 0017, Polietileno Dow611A,  LDPE-DOW611A,0.0,kg,    BEATRIZ  21/03/18 10:57
16,01 01 011 0001, Polietileno de alta densidad,  HDPE-1,969.7,kg,    ANA      17/10/02 10:09
17,01 01 021 0001, Polietileno de alta densidad lineal,  LLDPE-1,0.0,kg,    ANA      17/10/02 10:09
18,01 01 031 0001, Polietileno Metaloceno,  PEMET-1,443.6,kg,    ANA      17/10/02 10:09
19,01 01 051 0001, Polietileno recuperado,  LDPESAL,0.0,kg,    ANA      24/03/03 15:09
20,01 01 901 0004, Aditivo UV,  ADITUV,16.8,kg,    PACO     06/04/06 14:08
21,01 01 901 0005, Aditivo de Purga,  ADITPURGA,0.0,kg,    BEATRIZ  27/10/09 12:04
22,01 01 901 0006, Antioxidante,  ANTIOXIDANTE,0.0,kg,    BEATRIZ  27/10/09 12:10
23,01 01 901 0007, Aditivo Biodegradable,  ADITBIODEG,0.0,kg,    BEATRIZ  17/01/13 15:09
24,01 03 001 0001, Poliestireno,  PESTIR-1,0.0,kg,    PACO     01/07/03 17:17
25,01 15 030 0360, PP 30 micras 360mm,  PP30360,0.0,kg,    PACO     07/07/05 15:10
26,01 15 030 0530, PP 30 micras 530mm,  PP30530,0.0,kg,    PACO     15/12/05 11:55
27,01 16 020 0520, BOPP MATE 20 micrones 520 mm,  BOPPMATE20520,948.8,kg,    BEATRIZ  08/06/16 18:43
28,01 16 020 0620, BOPP MATE 20 micrones 620 mm,  BOPPMATE20620,1151.5,kg,    BEATRIZ  25/07/14 13:13
